Bsp_1982,Bsp_1983,Bsp_1984,Bsp_1985,Bsp_1986,Bsp_1987,Bsp_1988,Bsp_1989,Bsp_1990,Bsp_1991,Bsp_1992,Bsp_1993,Bsp_1994,Bsp_1995,Bsp_1996,Bsp_1997,Bsp_1998,Bsp_1999,Bsp_2000,Bsp_2001,Bsp_2002,Bsp_2003,Bsp_2004,Bsp_2005,Bsp_2006,Bsp_2007,Bsp_2008,Bsp_2009,Bsp_2010,Bsp_2011,Bsp_2012,Bsp_2013,Bsp_2014,Rec_1982,Rec_1983,Rec_1984,Rec_1985,Rec_1986,Rec_1987,Rec_1988,Rec_1989,Rec_1990,Rec_1991,Rec_1992,Rec_1993,Rec_1994,Rec_1995,Rec_1996,Rec_1997,Rec_1998,Rec_1999,Rec_2000,Rec_2001,Rec_2002,Rec_2003,Rec_2004,Rec_2005,Rec_2006,Rec_2007,Rec_2008,Rec_2009,Rec_2010,Rec_2011,Rec_2012
1987600,1927600,1729100,2749100,3477000,4056400,4601700,4209700,3594500,3411600,2799200,2616400,2225100,1728900,1579900,1368100,1153700,1108400,1047400,745410,918260,1009700,1199800,1669400,1657600,1501300,1604800,1685600,1349500,1217900,1037500,775450,567330,70738000,538640,1622100,2904700,4026200,5289200,2057400,2156100,1890300,3464800,6407800,7680200,8118000,4745900,2665200,2316300,4061200,4721500,4906900,18326000,3870300,2681900,1329100,862820,698090,1100200,2149800,901070,318020,332890,798040
2714900,2577000,2209000,3017600,3564000,3926900,4376400,3928500,3405300,3164600,2551200,2330700,2044400,1648300,1559500,1386200,1184800,1134700,1063600,746080,874510,915230,1099700,1557800,1576400,1461200,1603600,1717500,1403300,1332700,1238600,1136200,1018400,58984000,577030,1834000,3232600,4309800,5455900,2153100,2209500,1932500,3523400,6472100,7693700,8045800,4622100,2517200,2156600,3374900,4020800,4478900,18490000,4191100,3359600,1827600,1245200,1113500,1984300,4280400,1938500,831920,1227200,4174000
2197200,2114600,1954000,3311800,4314500,5137900,5883300,5434700,4626300,4443100,3682700,3481800,2915900,2209600,1907200,1550300,1195000,1065100,952600,644890,724970,757330,921380,1317000,1330900,1228600,1321300,1391300,1130100,1038200,921610,780780,627540,92526000,547930,1669900,2969800,4068400,5300500,2050200,2138600,1858300,3374200,6159700,7235300,7495000,4305000,2288600,1936900,2818400,3793500,4096400,16812000,3805200,2833600,1558200,1030600,885320,1520100,3247500,1377400,520930,685890,1872600
1722300,1686300,1567800,2744400,3604800,4323900,4948300,4567300,3871000,3710200,3064600,2880100,2389300,1793600,1565600,1287700,1018900,925900,830450,555500,641570,680840,811390,1139300,1128700,1023600,1082500,1113200,868980,754530,609500,455710,333610,80066000,519710,1510000,2722400,3848500,5167300,1969800,2089300,1812300,3290900,6006000,7033600,7270500,4216100,2230500,1856300,2940600,3525900,3658900,14648000,3270200,2374500,1229500,814510,671910,1120700,2280100,924920,326980,381920,1181400
1697700,1664900,1508400,2491300,3192800,3764800,4278200,3919900,3332400,3166300,2596800,2425000,2045800,1576600,1445600,1257400,1073400,1041700,988430,703790,887640,1026700,1302500,1913200,1976100,1864500,2062100,2231200,1871800,1805000,1686600,1507000,1326300,67766000,520350,1517500,2742200,3880200,5199800,2002800,2122200,1858800,3409600,6308900,7561500,8021400,4706700,2662800,2376500,3989900,5213000,5635200,22781000,4854200,3876500,2111800,1393100,1230600,2098200,4615800,1983600,803360,1057200,3564500
1460400,1447100,1292800,2095600,2653400,3103900,3504200,3187000,2701000,2539400,2058100,1898500,1606200,1242400,1162100,1015900,864940,820050,745640,496950,590730,636350,749280,1044900,1026400,929060,986420,1003600,743790,610620,478920,341660,233920,55897000,502150,1408400,2566700,3708800,5083100,1919500,2058900,1783700,3238900,5908500,6904200,7124100,4155400,2192500,1798600,3066100,3391400,3309600,13626000,3119700,2256700,1163400,762770,618730,983290,1941700,793920,268400,282960,719830
1804200,1761500,1580500,2536400,3214100,3757500,4259200,3892300,3316300,3141600,2571000,2395900,2032700,1576100,1449600,1261000,1071100,1031700,971210,684620,846110,952080,1184600,1711300,1742800,1615000,1754800,1869800,1537700,1442900,1290900,1064800,862750,66295000,526800,1553800,2796800,3926600,5225600,2015900,2127900,1861000,3406200,6285600,7500700,7913500,4626300,2575700,2265600,3790300,4633300,5223700,20296000,4291500,3152100,1660800,1107600,919690,1521300,3159200,1376500,504770,578230,1614400
1578000,1554300,1415000,2380900,3070800,3638300,4136200,3790300,3211400,3048800,2495300,2321200,1936400,1465200,1308500,1091900,874570,788800,688310,436170,475370,477040,553400,768570,746770,668990,678780,638750,447240,350740,258130,183410,117680,66466000,509200,1447600,2622600,3752200,5102500,1924300,2055200,1772200,3200200,5792800,6683500,6796200,3914800,1977300,1563600,2303000,2714000,2643800,11554000,2807000,2028400,1051800,681820,553160,929960,1903200,824940,290670,335160,1033600
1709100,1674700,1519000,2514900,3227100,3808300,4329000,3967600,3371200,3203600,2627300,2452200,2062000,1579300,1430100,1222200,1016100,960120,887040,611470,739330,815700,1000300,1433300,1448100,1336100,1448400,1523000,1225500,1123600,982330,805750,646520,68626000,519800,1512100,2729100,3860300,5180000,1983100,2102800,1831400,3339600,6131300,7250800,7578300,4422300,2405800,2063600,3439900,4051400,4464700,17614000,3852800,2869600,1509800,983310,833400,1383800,2873700,1231700,474870,623270,1767000
1729300,1693000,1525900,2486000,3168500,3720600,4221500,3861400,3283800,3112900,2547500,2372800,2001900,1539500,1401500,1201900,1001200,944750,869820,596260,715920,779310,936710,1324200,1324100,1213200,1306500,1362700,1079500,971700,830620,663230,520630,66412000,520870,1517900,2737200,3866200,5182200,1983000,2101500,1828600,3331000,6107100,7206400,7508500,4377200,2366800,2001200,3370500,3890400,4056800,16262000,3651300,2652300,1376900,916790,785010,1300700,2551900,1124000,431300,523520,1499000
