aFec,bFec,qFec,sC,segg,spg,scoregg,Rec12,Bsp12,Bsp13,Bsp14,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,ark,brk,sigRrk,scorrk,nllRrk,abh,bbh,sigRbh,scorbh,nllRbh,ahs,bhs,ghs,sigRhs,scorhs,nllRhs,neglnL,Rec1982,Rec2001,SSB1982,SSB2001,Bloss
0.82935,1.4857,1.4467,0.24097,0.49801,0.54282,0.3408,798040,1037500,775450,567330,460140,141470,97854,190100,324320,133500,66705,68363,91361,1983700,0.021212,0.13622,0.12917,0.14515,0.17556,0.23444,0.17581,0.17798,0.14095,0.13843,0.10597,1.7441,2.0336E-07,0.8541,0.77365,36.576,4755400,2200000,0.8529,0.774,36.535,0.62218,2617700,2077.1,0.85345,0.76967,36.554,120.35,70738000,18326000,1987600,745410,567330
0.81227,1.3851,1.1033,0.23726,0.57185,0.56386,0.60787,4174000,1238600,1136200,1018400,2960800,711450,379150,678870,1204600,440650,193030,169040,201070,2211400,0.0089537,0.043945,0.046654,0.082376,0.07963,0.091564,0.092845,0.10538,0.086933,0.10729,0.10162,3.3929,4.0514E-07,0.65206,0.58244,28.748,2775200,34280,0.63791,0.57906,28.112,1.5549,874510,2063.9,0.63797,0.58045,28.115,124.05,58984000,18490000,2714900,746080,746080
0.87496,1.2692,1.215,0.24261,0.58383,0.57045,0.65648,1872600,921610,780780,627540,1256000,366430,206590,414780,774170,278540,125800,113050,140910,1457900,0.013152,0.070659,0.070587,0.11808,0.095295,0.12734,0.12756,0.13833,0.11689,0.12442,0.1513,2.7038,3.3145E-07,0.68841,0.63951,30.321,3943000,1206300,0.6711,0.62601,29.583,0.70854,2664100,2353.9,0.69945,0.63395,30.783,124.78,92526000,16812000,2197200,644890,627540
0.92067,1.0826,1.0969,0.23009,0.63376,0.54163,0.8505,1181400,609500,455710,333610,744000,172780,102380,200840,382260,140340,60742,56689,67620,891140,0.020044,0.10946,0.12666,0.16847,0.16804,0.18778,0.19697,0.22392,0.17915,0.21111,0.184,1.9383,2.2121E-07,0.7258,0.66283,31.855,5215100,2369500,0.7284,0.66654,31.959,0.71914,2389900,1952.9,0.72407,0.6526,31.786,122.07,80066000,14648000,1722300,555500,333610
0.75891,1.6935,1.5969,0.24075,0.60363,0.53366,0.49349,3564500,1686600,1507000,1326300,2509300,603250,363930,702970,1341800,484370,229610,207440,262020,3317100,0.008865,0.045777,0.052092,0.06998,0.064874,0.076347,0.09098,0.076746,0.079596,0.070835,0.07396,3.9,4.736E-07,0.69521,0.6381,30.607,3248800,249520,0.67464,0.61808,29.736,0.83662,2046700,2082.7,0.76375,0.68905,33.333,122.35,67766000,22781000,1697700,703790,703790
0.90041,1.1139,1.8746,0.25232,0.50246,0.57325,0.6614,719830,478920,341660,233920,402250,109330,71337,140630,265180,98477,44763,42147,49585,656120,0.024281,0.18294,0.16824,0.19423,0.18833,0.21831,0.24434,0.26495,0.22069,0.25063,0.21476,2.0139,2.1908E-07,0.77442,0.71692,33.736,6702900,3196400,0.7764,0.7178,33.81,0.8024,1899200,1473.7,0.76284,0.70451,33.299,125.64,55897000,13626000,1460400,496950,233920
0.8842,1.0988,1.2033,0.231,0.4743,0.53967,0.51299,1614400,1290900,1064800,862750,1064700,297900,200120,415990,740620,281000,134850,131980,164310,2464400,0.013468,0.078685,0.078047,0.09461,0.09334,0.13802,0.11952,0.11979,0.090506,0.10611,0.094195,2.6935,3.5656E-07,0.76905,0.71979,33.534,2398800,604.25,0.74736,0.71185,32.704,0.72244,2393800,1992,0.8007,0.73151,34.703,118.9,66295000,20296000,1804200,684620,684620
0.92744,0.94898,1.9998,0.25006,0.69953,0.55924,0.86241,1033600,258130,183410,117680,634570,142740,81845,154830,235420,74566,26172,21493,24910,202360,0.022797,0.1231,0.15989,0.20872,0.20561,0.30678,0.32243,0.40432,0.33881,0.33737,0.37776,2.3317,2.7607E-07,0.66443,0.57781,29.293,5185500,2028700,0.66888,0.58686,29.487,0.87335,1936500,1561.4,0.66757,0.56101,29.43,128.57,66466000,11554000,1578000,436170,117680
0.88769,1.2568,1.196,0.23465,0.49994,0.52978,0.64646,1767000,982330,805750,646520,1177700,326620,182650,344770,630750,231820,108230,101990,130250,1748500,0.014651,0.07693,0.076567,0.12449,0.12784,0.1345,0.15089,0.13662,0.11091,0.12172,0.12409,2.4243,3.0478E-07,0.73529,0.68914,32.232,3321400,719960,0.72784,0.68871,31.936,0.76192,2235900,1894,0.75176,0.6922,32.874,119.16,68626000,17614000,1709100,611470,611470
0.82515,1.5823,1.2899,0.23688,0.51197,0.52988,0.66429,1499000,830620,663230,520630,979220,262940,159950,295250,494980,200040,92375,82403,101540,1411200,0.016253,0.090352,0.088197,0.12319,0.1439,0.18892,0.13429,0.16106,0.14807,0.14921,0.13778,2.2673,2.7791E-07,0.7349,0.69145,32.217,4068600,1301200,0.73289,0.69309,32.137,0.75853,2243400,1820.7,0.74202,0.68762,32.496,119.29,66412000,16262000,1729300,596260,520630
