Year,MidJulian,DailyEst
1998,41,0
1998,85,1
1998,120,11.7
1998,150,3.9
1998,175,14.4
1998,212,0
2001,41,0
2001,84,0.274408
2001,116,1.73823
2001,147,12.7039
2001,172,7.60328
2001,193,2.74587
2001,212,0
2004,41,0
2004,94.5,1.413
2004,110.5,1.959
2004,121.5,2.334
2004,146,5.254
2004,170,13.174
2004,182.5,9.118
2004,191.5,6.1965
2004,212,0
2007,41,0
2007,84,4.76
2007,115.5,5.85
2007,140,13.59
2007,168,19.44
2007,199,12.21
2007,212,0
2010,41,0
2010,84,2.71
2010,115.5,10.19
2010,140,2.03
2010,168,13.63
2010,187.5,10.23
2010,199,6.84
2010,212,0
2013,41,0.1
2013,84,0.8
2013,115.5,2.6
2013,140,1.3
2013,168,3.8
2013,187.5,4.0
2013,199,4.1
2013,212,0.0
